Date,Country,Bias motivations,Type of incident,Source,Description
2021-03,Germany,"Racist and xenophobic hate crime, Anti-Muslim hate crime",Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,"A Turkish mosque was vandalized with anti-Turkish and threatening graffiti. The mosque had previously been targeted, and similar incidents targeting other mosques occurred in the country at the time."
2021-04,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque run by a Turkish Islamic organization had its windows broken when pelted with stones by a man. Similar incidents targeting mosques occurred in the country at the time.
2021-04,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,The door of a mosque run by a Turkish Islamic organization was vandalized with graffiti. Similar incidents targeting mosques occurred in the country at the time.
2021-04,Germany,"Racist and xenophobic hate crime, Anti-Muslim hate crime",Threats,FAIR international - Federation against Injustice and Racism e. V.,"Muslim community members were threatened when a letter containing neo-Nazi symbols and threats of violence was sent to a Turkish mosque. The mosque had previously been targeted, and similar incidents occurred in the country at the time."
2021-04,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque was vandalized. Similar incidents targeting mosques occurred in the country at the time.
2021-05,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were threatened at a mosque due their religion. Similar incidents occurred in the country at the time.
2021-05,Germany,Anti-Muslim hate crime,Violent attacks against people,FAIR international - Federation against Injustice and Racism e. V.,Members of the Muslim community were shot at with a blank pistol five times by a man due to their religion. The incident occurred following a dispute over loud music played outside the mosque. Similar incidents targeting mosques occurred in the country at the time.
2021-05,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Members of the Muslim community were threatened at a mosque due to their religion. Similar incidents occurred in the country at the time.
2021-05,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque was vandalized. Similar incidents targeting mosques occurred in the country at the time.
2021-05,Germany,"Racist and xenophobic hate crime, Anti-Muslim hate crime",Violent attacks against people,FAIR international - Federation against Injustice and Racism e. V.,A Turkish Muslim community leader was attacked with a knife by a man due to the victim's religion after the perpetrator tried to enter the mosque.
2021-05,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque was targeted in a theft when objects were stolen from the building. Similar incidents targeting mosques occurred in the country at the time.
2021-06,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque was vandalized. Similar incidents targeting mosques occurred in the country at the time.
2021-06,Germany,"Racist and xenophobic hate crime, Anti-Muslim hate crime",Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque run by a Turkish Islamic organization was vandalized with anti-Turkish graffiti. Similar incidents targeting mosques occurred in the country at the time.
2021-07,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque was vandalized with far-right graffiti. Similar incidents targeting mosques occurred in the country at the time.
2021-07,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were threatened when a letter containing anti-Muslim insults and threats was sent to a mosque. Similar incidents occurred in the country at the time.
2021-07,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were threatened at a mosque due to their religion. Similar incidents occurred in the country at the time.
2021-07,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were threatened at a mosque due to their religion. Similar incidents occurred in the country at the time.
2021-07,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque was vandalized with far-right graffiti. Similar incidents targeting mosques occurred in the country at the time.
2021-07,Germany,"Racist and xenophobic hate crime, Anti-Muslim hate crime",Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque was vandalized with threatening graffiti related to developments in Iran. Similar incidents targeting mosques occurred in the country at the time.
2021-07,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque was vandalized. Similar incidents targeting mosques occurred in the country at the time.
2021-07,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque was vandalized. Similar incidents targeting mosques occurred in the country at the time.
2021-08,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were threatened at a mosque due to their religion. Similar incidents occurred in the country at the time.
2021-09,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were threatened at a mosque due to their religion. Similar incidents occurred in the country at the time.
2021-09,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,"The premises of a mosque were vandalized with anti-Muslim stickers. The mosque had previously been targeted, and similar incidents occurred in the country at the time."
2021-09,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque was vandalized. Similar incidents targeting mosques occurred in the country at the time.
2021-09,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were threatened when a practice grenade was left in the courtyard of a mosque. Similar incidents occurred in the country at the time.
2021-09,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were subjected to anti-Muslim insults and threatened at a mosque. Similar incidents occurred in the country at the time.
2021-09,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,"Rubbish containers outside a mosque were set on fire, damaging the building. Similar incidents targeting mosques occurred in the country at the time."
2021-09,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Worshippers at a mosque were threatened when the mosque was pelted with bottles and damaged during prayers at night. Similar incidents occurred in the country at the time.
2021-10,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were threatened at a mosque due to their religion. Similar incidents occurred in the country at the time.
2021-10,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were subjected to anti-Muslim insults and threatened at a mosque due to their religion. Similar incidents occurred in the country at the time.
2021-10,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were subjected to anti-Muslim insults and threatened at a mosque due to their religion. Similar incidents occurred in the country at the time.
2021-10,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque was vandalized. Similar incidents targeting mosques occurred in the country at the time.
2021-10,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque was vandalized. Similar incidents targeting mosques occurred in the country at the time.
2021-10,Germany,Anti-Muslim hate crime,Violent attacks against people,FAIR international - Federation against Injustice and Racism e. V.,A Muslim person was beaten at a mosque due to their religion.
2021-11,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were threatened at a mosque due to their religion. Similar incidents occurred in the country at the time.
2021-11,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were threatened at a mosque due to their religion. Similar incidents occurred in the country at the time.
2021-11,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque run by a Turkish Islamic organization was subjected to an attempted arson attack when doused with petrol. Similar incidents targeting mosques occurred in the country at the time.
2021-11,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were threatened at a mosque due to their religion. Similar incidents occurred in the country at the time.
2021-11,Germany,Anti-Muslim hate crime,Threats,FAIR international - Federation against Injustice and Racism e. V.,Muslim community members were threatened at a mosque due to their religion. Similar incidents occurred in the country at the time.
2021-11,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque run by a Turkish Islamic organization was vandalized with graffiti. Similar incidents targeting mosques occurred in the country at the time.
2021-12,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque was vandalized with graffiti. Similar incidents targeting mosques occurred in the country at the time.
2021-12,Germany,Anti-Muslim hate crime,Attacks against property,FAIR international - Federation against Injustice and Racism e. V.,A mosque was vandalized when a pig's head was attached to the entrance gate. The perpetrator took a photo of himself and the head before leaving the site. Similar incidents targeting mosques occurred in the country at the time.
2021-01,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A Jewish man received a letter containing anti-Semitic insults and threats to kill his son. This was the third in a series of threatening letters sent to the victim.
2021-02,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A Jewish man received multiple messages containing anti-Semitic insults and threats.
2021-05,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A boy was subjected to anti-Semitic insults and threatened with violence and death by a group on social media. The incidents occurred after the victim expressed support for Israel online.
2021-05,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A visibly Jewish man was subjected to threatening behaviour and followed by a cyclist.
2021-05,Netherlands,"Anti-Semitic hate crime, Gender-based hate crime",Threats,Israel Information and Documentation Centre (CIDI),"A female Jewish student received multiple messages containing anti-Semitic and misogynistic insults and threatening her with violence, sexual assault and death. The perpetrator also threatened the victim's male partner. The incidents occurred after the victim spoke out against statements made at an anti-Israel demonstration."
2021-08,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A male Jewish student was subjected to anti-Semitic insults and threatened with death by another student over the phone. The victim had previously been targeted by the same perpetrator on social media.
2021-11,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),The owner and employees of a kosher restaurant were repeatedly subjected to anti-Semitic insults and threatened with arson by a man over the phone. The restaurant had previously been targeted.
2021-05,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),"A Jewish boy wearing a kippah was repeatedly subjected to anti-Semitic insults and death threats, including references to the Holocaust, by a man on a train. The victim was also filmed and followed when he tried to change his seat."
2021-07,Austria,"Racist and xenophobic hate crime, Gender-based hate crime",Threats,Anti-Discrimination Office Styria,A woman was threatened and subjected to misogynist and xenophobic insults by a man who banged on her car door due to her perceived foreign origin. The victim's car was scratched.
2021-06,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A Jewish man wearing a kippah was subjected to an anti-Semitic death threat by the driver of a car while crossing the road on foot.
2021-06,Netherlands,Anti-Semitic hate crime,Violent attacks against people,Israel Information and Documentation Centre (CIDI),A Jewish man wearing a kippah was spat at and subjected to anti-Israeli insults by two boys while returning from a synagogue service.
2021-10,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),"A Jewish man was subjected to anti-Semitic insults, followed and threatened by a male motorcyclist while crossing the road on foot."
2021-10,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A Jewish man wearing a kippah was subjected to anti-Semitic insults and death threats by a group in the street.
2021-11,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A Jewish man was subjected to anti-Semitic insults and threatened with violence while cycling through the city centre.
2021-12,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),"A Jewish man was subjected to anti-Semitic insults and death threats, including references to the Holocaust, which were shouted via a megaphone from a bus driving through his street at night. The victim later noticed a swastika carved into a nearby road."
2021-12,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),"A road was vandalized when a swastika was carved into it. Prior to the incident, anti-Semitic insults and death threats were shouted from a bus passing through the area at night."
2021-04,Netherlands,"Anti-Semitic hate crime, Gender-based hate crime",Threats,Israel Information and Documentation Centre (CIDI),A Jewish woman was subjected to anti-Semitic and misogynistic insults and threats via voice messages left by a male stalker.
2021-10,Netherlands,"Anti-Semitic hate crime, Anti-LGBTI hate crime",Threats,Israel Information and Documentation Centre (CIDI),A Jewish man was threatened with sexual assault and subjected to anti-Semitic and homophobic insults via an anonymous phone call.
2021-02,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),A mezuzah on the door of a Jewish student's room was destroyed and a swastika was carved in its place.
2021-08,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),A window in front of a menorah was broken when pelted with stones by a group.
2021-10,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),A monument to Jewish victims of the Holocaust was vandalized when flower arrangements laid during a memorial ceremony were destroyed. The monument is located at the site of a former Nazi labour camp.
2021-11,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),A mezuzah was destroyed and removed from the doorpost of a Jewish man's home.
2021-05,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),The windows and facade of a synagogue were vandalized with swastika stickers. The incident occurred on the day of an anti-Israel demonstration.
2021-05,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),A monument to Jewish victims of the Holocaust was vandalized with anti-Israel graffiti and white paint.
2021-05,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),The wall of a Jewish cemetery was vandalized with anti-Israel posters.
2021-05,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),A memorial to Jewish victims of the Holocaust was vandalized when pelted with eggs.
2021-01,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),"A wall was vandalized with anti-Semitic graffiti, including a message denying the COVID-19 pandemic."
2021-04,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),"A wall was vandalized with anti-Semitic graffiti, including a swastika."
2021-05,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),A public space near a synagogue was vandalized with anti-Israel posters. The same posters were found on rubbish bins and bus shelters in other cities.
2021-05,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),Public spaces in several cities were vandalized when anti-Israel posters were stuck to rubbish bins and bus shelters.
2021-06,Netherlands,"Racist and xenophobic hate crime, Anti-Semitic hate crime",Threats,Israel Information and Documentation Centre (CIDI),"A boy was threatened when his social media username was paint-sprayed on a bicycle path together with an anti-Semitic death threat, a Star of David, a racist insult and a swastika"
2021-07,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),"A wall was vandalized with graffiti containing anti-Semitic insults and depicting a male football player with a caricatured big nose, wearing a kippah and a concentration camp uniform, and with a Star of David on his chest."
2021-08,Netherlands,"Anti-Semitic hate crime, Anti-Muslim hate crime",Attacks against property,Israel Information and Documentation Centre (CIDI),The railing of a viewing platform was vandalized with anti-Semitic death threats and anti-Muslim insults.
2021-08,Netherlands,"Racist and xenophobic hate crime, Anti-Semitic hate crime, Anti-Muslim hate crime",Attacks against property,Israel Information and Documentation Centre (CIDI),"A rubbish skip was vandalized with anti-Semitic, racist and anti-Muslim insults."
2021-08,Netherlands,"Anti-Semitic hate crime, Anti-LGBTI hate crime",Attacks against property,Israel Information and Documentation Centre (CIDI),"A wall was vandalized with anti-Semitic, anti-Israel and homophobic graffiti by a group."
2021-09,Netherlands,"Racist and xenophobic hate crime, Anti-Semitic hate crime, Gender-based hate crime, Anti-LGBTI hate crime",Attacks against property,Israel Information and Documentation Centre (CIDI),"A tram was vandalized with a sticker referring to several anti-Semitic conspiracy theories and depicting a United States flag with a Star of David alongside anti-Semitic, homophobic and misogynistic messages."
2021-09,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),"A pavement was vandalized with anti-Semitic, anti-Israel and swastika graffiti."
2021-09,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),A synagogue was vandalized when a man spat at the security camera on Yom Kippur.
2021-11,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),A wall of an apartment block was vandalized with anti-Semitic death threats. The same graffiti had been found on the wall a month before the incident.
2021-10,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),A wall of an apartment block was vandalized with anti-Semitic death threats. The same graffiti was found on the wall a month after the incident.
2021-11,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),A public space was vandalized with posters depicting a Nazi leader and promoting an anti-Semitic film and the social media channel of an organized hate group.
2021-01,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),A car belonging to a Jewish family was vandalized when an anti-Semitic inscription was written in the snow covering the car.
2021-08,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A Jewish woman and her family were subjected to an anti-Semitic death threat sent by one of her neighbours via a messaging application.
2021-09,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),"A Jewish family, including a child, was threatened with violence, repeatedly filmed and subjected to anti-Semitic insults by their neighbours."
2021-09,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),"A woman was subjected to anti-Semitic insults and threatened by a male neighbour who installed cameras opposite her house, made threatening remarks and stalked her."
2021-07,Netherlands,"Anti-Semitic hate crime, Anti-LGBTI hate crime",Violent attacks against people,Israel Information and Documentation Centre (CIDI),An eight-year-old boy wearing Jewish clothing was subjected to homophobic and anti-Semitic insults and physically assaulted by a male classmate after the victim reported the insults to the teacher. The attack led to a fight between the two boys.
2021-08,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A Jewish boy was threatened when a group of older boys shouted anti-Semitic insults and threw an object at the window of his house at night. The victim had previously been bullied at school due to his Jewish identity.
2021-06,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A Jewish male business owner received several video and audio messages from a former colleague containing anti-Semitic insults and death threats against him and his daughter.
2021-07,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),Several lamp posts were vandalized with stickers portraying an anti-Semitic caricature of a male football player alongside anti-Semitic insults. Similar images had appeared in another city a few days earlier.
2021-10,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),A woman with a Jewish surname had her delivery parcel vandalized with a swastika etching.
2021-12,Netherlands,Anti-Semitic hate crime,Attacks against property,Israel Information and Documentation Centre (CIDI),A Jewish couple received an order from a butcher's shop with anti-Semitic insults written on the packaging.
2021-02,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A Jewish man was subjected to anti-Semitic insults and death threats on social media after commenting on Israel's vaccination campaign against COVID-19. The victim had previously experienced similar incidents.
2021-05,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A Jewish organization was repeatedly threatened by a series of emails containing anti-Semitic insults and death threats and urging the recipients to convert to Islam.
2021-07,Netherlands,"Anti-Semitic hate crime, Gender-based hate crime",Threats,Israel Information and Documentation Centre (CIDI),A man was subjected to anti-Semitic and misogynistic insults and threatened with death on social media.
2021-09,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A Jewish woman was threatened when her social media account was hacked and her personal photos were published online with anti-Semitic insults and a death threat added to the pictures.
2021-12,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),Employees of a Jewish civil society organization were threatened when the organization received five emails containing anti-Semitic insults and death threats. The emails were sent following a court case concerning Jewish Holocaust survivors.
2021-12,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),A man who identifies as Jewish on his social media profile was subjected to anti-Semitic death threats by a man. The threats included references to the Holocaust and an organized hate group that operates in the victim's neighbourhood.
2021,Netherlands,Anti-Semitic hate crime,Threats,Israel Information and Documentation Centre (CIDI),Employees of a Jewish civil society organization were threatened in multiple emails containing anti-Semitic and anti-Israel insults and death threats.
2021-01,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A male LGBTI-rights activist was pepper-sprayed in the face, followed and threatened by a group of 20 teenagers wearing black clothes and medical masks due to the victim's online support of LGBTI communities. The perpetrators also threatened an LGBTI-friendly institution. The victim had previously been targeted in a similar incident."
2021-01,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A transgender woman wearing a rainbow face mask was pepper-sprayed by two men in the street at night due to the victim's association with the LGBTI community. Before the attack, the perpetrators ordered the victim to remove their face mask."
2021-01,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A man with painted nails had his face mask removed and was punched in the face after being subjected to homophobic and transphobic insults by a man on a tram.
2021-03,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was attacked, threatened with a knife, stripped naked, tied up and subjected to homophobic insults by two men during a date arranged online. The victim had homophobic insults written on his forehead, was forced to state his sexual orientation on camera and threatened with having the video shared on social media. When he tried to leave, the victim was robbed and strangled."
2021-03,Ukraine,"Gender-based hate crime, Anti-LGBTI hate crime",Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A woman was subjected to homophobic and misogynistic insults, threatened with violence, pulled by her backpack and knocked down by a group of men in the street at night."
2021-04,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was murdered when repeatedly stabbed in the head and body with a metal screwdriver and a knife by a man during a date arranged online. The perpetrator also robbed the victim.
2021-02,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was abducted, driven to a forest, threatened and subjected to homophobic insults by three male members of a hate group who also placed a knife to his neck. The incident occurred during a meeting arranged via a dating application used by LGBTI people."
2021-02,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,A gay male model was blackmailed and threatened with having his sexual orientation and private information revealed online.
2021-04,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,Employees of an LGBTI association were threatened with a bomb attack targeting their office during working hours via an email. The perpetrators also threatened to set fire to the homes of each employee.
2021-03,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was punched in the head, grabbed by the jacket and subjected to homophobic insults by a group of boys while walking with two friends in the street at night."
2021-04,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,A gay man was threatened with a criminal investigation and blackmailed with having his sexual orientation revealed on social media by a man he had met via a dating application. The perpetrator repeatedly extorted money from the victim.
2021-05,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,"A gay military serviceman was blackmailed and threatened with having his sexual orientation revealed to his family, friends and colleagues by a man on social media."
2021-05,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A lesbian woman was beaten in front of her infant child by her mother and her roommate due to her sexual orientation. After accessing the victim's phone without her permission, the mother published her private photos alongside homophobic insults on social media. The victim sustained injuries. Prior to the incident, the victim was repeatedly subjected to homophobic insults by the perpetrators."
2021-05,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A man and a teenage boy wearing make-up and bright clothes were attacked and subjected to homophobic insults by a group of four men in the street at night. The younger victim was repeatedly punched in the head.
2021-04,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A 19-year-old transgender woman was grabbed, thrown on the couch, sexually assaulted and threatened with rape by a male neighbour due to the victim's gender identity."
2021-04,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gender-fluid person wearing women's clothes and a wig was sitting on a bench when they were subjected to homophobic insults, punched in the ear and knocked to the ground by two men due to their gender identity. One of the attackers ripped off the victim's wig and threw it in a lake."
2021-05,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A lesbian couple was beaten up by the father of one of the victims due to their sexual orientation. Both victims sustained injuries.
2021-05,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,A gay couple was threatened with a knife and one victim was subjected to homophobic insults by a male neighbour outside the victims' apartment one evening due to their sexual orientation.
2021-05,Ukraine,Anti-LGBTI hate crime,Attacks against property,LGBT Human Rights NASH SVIT Center,The windows of an LGBTI-rights organization's office and a neighbouring office were shattered with stones by seven members of an organized hate group. A security camera was also damaged. Two of the perpetrators had attacked an LGBTI event earlier that day.
2021-05,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,"The organizers and participants of an LGBTI event were threatened when around thirty members of an organized hate group broke into the event venue, forcing the audience to evacuate. This was one in a series of anti-LGBTI incidents committed by the same perpetrators that day."
2021-05,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,A speaker at an LGBTI event received threats and was forced to hide after the victim's personal information was shared on the social media channel of an organized hate group. This was one in a series of anti-LGBTI incidents committed by the same perpetrators that day.
2021-05,Ukraine,"Racist and xenophobic hate crime, Anti-LGBTI hate crime",Threats,LGBT Human Rights NASH SVIT Center,The organizers and participants of an LGBTI event were threatened when around thirty members of an organized hate group armed with metal batons and wearing masks or balaclavas broke into the event venue shouting homophobic and xenophobic insults. The perpetrators continued to threaten the victims after the police arrived. This was one in a series of anti-LGBTI incidents committed by the same perpetrators that day.
2021-05,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"Organizers and participants of an LGBTI film screening were attacked with pepper spray and subjected to homophobic insults by 20 members of a far-right group. The perpetrators pelted the premises with firecrackers and smoke grenades, breaking the windows. Most victims sustained burns to their eyes and a persistent cough, and one victim suffered a nosebleed."
2021-06,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A young man with long hair and a girl with short hair were subjected to homophobic insults, pushed and repeatedly hit in the face by two men due to their perceived sexual orientation."
2021-06,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A teenage gay boy with purple hair and a young gay man wearing bright clothes were subjected to homophobic and transphobic insults, attacked with pepper spray and pelted with food by a group of three men in a cafe. When he tried to call the police, the older victim was hit several times on the head. A female employee of the cafe was also pepper-sprayed. Two victims sustained injuries."
2021-06,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A man was subjected to homophobic insults and beaten by another man in his apartment building because his hair was dyed pink.
2021-07,Ukraine,"Disability hate crime, Anti-LGBTI hate crime",Violent attacks against people,LGBT Human Rights NASH SVIT Center,"An HIV-positive gay man was subjected to homophobic and HIV-related insults and severely beaten by a male police officer following a call from the victim's landlord. The victim sustained multiple injuries. Prior to the incident, the landlord had repeatedly subjected the victim and his partner to homophobic and HIV-related insults, broken into their home and rummaged through their belongings."
2021,Ukraine,"Disability hate crime, Anti-LGBTI hate crime",Attacks against property,LGBT Human Rights NASH SVIT Center,"The house of a gay couple was broken into multiple times by the landlord, who also rummaged through the victims' belongings. The couple was repeatedly subjected to homophobic and HIV-related insults by the perpetrator."
2021-07,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A man wearing make-up and gender-nonconforming clothes was subjected to homophobic insults, punched in the head and beaten by a group of three boys in a shopping centre."
2021-05,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A 67-year-old man belonging to the LGBTI community was stabbed to death by a man due to the victim's sexual orientation during a date arranged via social media. Similar incidents occurred in the country at the time.
